"R_region","R_age","R_edu","R_income","R_health","R_height","R_happy","A_height","A_edu","A_income"
"Inlands",50,"Never attended school",40,"Not good",150,"Somewhat happy",170,"Never attended school",100
"Inlands",36,"Elementary school",300,"Good",160,"Somewhat happy",165,"Senior high school",300
"Inlands",39,"Never attended school",30,"Good",160,"Somewhat happy",170,"Junior high school",30
"Inlands",35,"Elementary school",100,"Fair",150,"Somewhat happy",170,"Elementary school",200
"Inlands",30,"Elementary school",80,"Not good",160,"Somewhat happy",165,"Elementary school",80
"Inlands",30,"Never attended school",40,"Excellent",155,"Somewhat happy",165,"Junior high school",300
"Inlands",50,"Elementary school",200,"Fair",157,"Somewhat happy",165,"Elementary school",500
"Inlands",37,"Elementary school",100,"Good",155,"Somewhat happy",165,"Senior high school",300
"Inlands",40,"Elementary school",100,"Fair",156,"Somewhat happy",160,"Elementary school",200
"Inlands",43,"Elementary school",300,"Good",155,"Somewhat happy",160,"Elementary school",300
"Inlands",49,"Elementary school",10,"Excellent",150,"Not too happy",165,"Elementary school",10
"Inlands",41,"Never attended school",200,"Not good",156,"Not too happy",175,"Junior high school",200
"Inlands",31,"Elementary school",80,"Good",157,"Somewhat happy",168,"Elementary school",80
"Inlands",33,"Elementary school",200,"Not good",160,"Not too happy",160,"Elementary school",200
"Inlands",33,"Never attended school",200,"Not good",150,"Not too happy",170,"Elementary school",200
"Inlands",50,"Elementary school",60,"Good",157,"Somewhat happy",165,"Junior high school",60
"Inlands",37,"Elementary school",40,"Not good",158,"Not too happy",170,"Senior high school",40
"Inlands",42,"Elementary school",80,"Good",156,"Somewhat happy",160,"Elementary school",80
"Inlands",35,"Elementary school",200,"Good",150,"Somewhat happy",165,"Junior high school",200
"Inlands",23,"Junior high school",200,"Excellent",163,"Somewhat happy",167,"Elementary school",200
"Inlands",26,"Elementary school",80,"Good",157,"Not too happy",162,"Junior high school",80
"Inlands",27,"Elementary school",70,"Excellent",155,"Somewhat happy",160,"Elementary school",70
"Inlands",43,"Never attended school",200,"Good",157,"Somewhat happy",165,"Elementary school",200
"Inlands",43,"Elementary school",100,"Excellent",158,"Somewhat happy",158,"Elementary school",100
"Inlands",47,"Elementary school",60,"Fair",145,"Very unhappy",167,"Elementary school",60
"Inlands",27,"Elementary school",100,"Good",155,"Somewhat happy",155,"Elementary school",100
"Inlands",40,"Elementary school",50,"Not good",156,"Not too happy",157,"Junior high school",50
"Inlands",43,"Never attended school",40,"Good",166,"Somewhat happy",167,"Elementary school",40
"Inlands",43,"Elementary school",300,"Good",150,"Somewhat happy",162,"Elementary school",400
"Inlands",23,"Junior high school",300,"Good",163,"Somewhat happy",173,"Elementary school",300
"Inlands",34,"Elementary school",80,"Good",150,"Very happy",160,"Junior high school",80
"Inlands",35,"Elementary school",200,"Excellent",156,"Very happy",160,"Junior high school",500
"Inlands",42,"Junior high school",900,"Excellent",154,"Somewhat happy",172,"Senior high school",500
"Inlands",50,"Elementary school",80,"Good",150,"Somewhat happy",160,NA,300
"Inlands",58,"Junior high school",400,"Good",159,"Somewhat happy",165,"Elementary school",600
"Inlands",24,"Senior high school",200,"Fair",160,"Somewhat happy",170,"Senior high school",700
"Inlands",55,"Senior high school",300,"Fair",160,"Not too happy",170,"Junior college",800
"Inlands",28,"Senior high school",500,"Good",162,"Somewhat happy",176,"Senior high school",600
"Inlands",26,"Junior college",1000,"Fair",165,"Not too happy",175,"University",800
"Inlands",52,"Senior high school",600,"Good",161,"Very unhappy",179,"University",600
"Inlands",33,"Senior high school",500,"Excellent",154,"Very happy",167,"Elementary school",700
"Inlands",34,"Junior high school",0,"Good",158,"Somewhat happy",180,"Senior high school",100
"Inlands",37,"Senior high school",100,"Good",165,"Somewhat happy",176,"Junior high school",100
"Inlands",28,"Senior high school",300,"Good",165,"Somewhat happy",170,"Senior high school",300
"Inlands",57,"University",1000,"Good",162,"Somewhat happy",173,"University",1000
"Inlands",55,"Elementary school",300,"Good",155,"Not too happy",175,"Junior high school",400
"Inlands",49,"Never attended school",300,"Good",151,"Somewhat happy",174,"Junior high school",1000
"Inlands",37,"Senior high school",300,"Not good",162,"Somewhat happy",173,"Senior high school",300
"Inlands",38,"Senior high school",500,"Fair",155,"Somewhat happy",176,"Senior high school",300
"Inlands",52,"Junior high school",600,"Good",166,"Not too happy",172,"Junior high school",400
"Inlands",46,"Senior high school",800,"Good",168,"Not too happy",172,"Senior high school",300
"Inlands",60,"Senior high school",500,"Good",150,"Not too happy",168,"Junior high school",1000
"Inlands",34,"Junior high school",0,"Good",152,"Somewhat happy",165,"Senior high school",600
"Inlands",59,"Elementary school",200,"Good",158,"Somewhat happy",160,"Elementary school",400
"Inlands",50,"Elementary school",200,"Excellent",158,"Somewhat happy",158,"Junior high school",500
"Inlands",38,"Senior high school",400,"Fair",160,"Somewhat happy",170,"Junior college",500
"Inlands",45,"Senior high school",900,"Good",154,"Somewhat happy",164,"University",1000
"Inlands",37,"Senior high school",400,"Good",157,"Somewhat happy",176,"Senior high school",800
"Inlands",43,"Senior high school",900,"Excellent",162,"Very happy",161,"Junior high school",1000
"Inlands",32,"Junior high school",500,"Poor",158,"Somewhat happy",170,"University",2000
"Inlands",47,"Junior college",1000,"Fair",152,"Very happy",168,"Junior college",1000
"Inlands",54,"Junior high school",400,"Not good",159,"Not too happy",162,"Junior high school",400
"Inlands",48,"Junior high school",200,"Fair",154,"Very happy",167,"Junior high school",800
"Inlands",45,"Junior high school",900,"Good",153,"Not too happy",173,"Junior high school",500
"Inlands",23,"Senior high school",300,"Good",157,"Very happy",165,"Junior high school",600
"Inlands",52,"Senior high school",1000,"Good",157,"Somewhat happy",171,"Senior high school",1000
"Inlands",63,"Elementary school",200,"Not good",150,"Somewhat happy",160,"University",800
"Inlands",46,"Senior high school",600,"Fair",158,"Somewhat happy",170,"Junior high school",600
"Inlands",59,"Elementary school",400,"Good",163,"Somewhat happy",168,"Elementary school",400
"Inlands",38,"Junior college",1000,"Good",160,"Somewhat happy",178,"Senior high school",1000
"Inlands",60,"Junior high school",400,"Not good",154,"Somewhat happy",162,"Junior high school",1000
"Inlands",61,"Elementary school",600,"Poor",156,"Somewhat happy",178,"Junior high school",1000
"Inlands",58,"Junior high school",600,"Good",160,"Somewhat happy",174,"Junior high school",1000
"Inlands",45,"Junior high school",900,"Excellent",157,"Somewhat happy",163,"Junior high school",1000
"Coastal South",37,"Senior high school",600,"Good",175,"Somewhat happy",177,"Junior high school",1000
"Coastal South",30,"Junior high school",300,"Excellent",140,"Very happy",163,"Junior high school",500
"Coastal South",30,"Junior high school",600,"Fair",167,"Somewhat happy",170,"Junior high school",500
"Coastal South",42,"Senior high school",500,"Good",150,"Somewhat happy",170,"Junior high school",500
"Coastal South",30,"Senior high school",1000,"Not good",155,"Somewhat happy",163,"Junior college",1000
"Coastal South",43,"Senior high school",400,"Good",157,"Somewhat happy",170,"Senior high school",1000
"Coastal South",40,"Junior high school",1000,"Excellent",161,"Very happy",175,"Senior high school",1000
"Coastal South",43,"Never attended school",400,"Excellent",160,"Very happy",170,"Junior high school",800
"Coastal South",50,"Junior high school",900,"Fair",157,"Somewhat happy",170,"Senior high school",900
"Coastal South",39,"Senior high school",400,"Excellent",150,"Very happy",170,"Senior high school",1000
"Coastal South",44,"Senior high school",200,"Not good",156,"Not too happy",177,"Senior high school",1000
"Coastal South",44,"Senior high school",600,"Fair",156,"Somewhat happy",158,"University",1000
"Coastal South",32,"Elementary school",500,"Fair",156,"Somewhat happy",167,"Junior high school",800
"Coastal South",50,"Senior high school",2000,"Fair",153,"Very happy",164,"Elementary school",1000
"Coastal South",40,"Senior high school",600,"Fair",155,"Somewhat happy",163,"Senior high school",1000
"Coastal South",23,"Senior high school",2000,"Good",163,"Somewhat happy",170,"University",5000
"Coastal South",28,"Senior high school",600,"Good",157,"Somewhat happy",173,"Senior high school",700
"Coastal South",26,"Senior high school",600,"Excellent",163,"Somewhat happy",170,"Junior high school",800
"Coastal South",22,"Junior high school",500,"Excellent",158,"Somewhat happy",162,"Elementary school",2000
"Coastal South",30,"Junior high school",500,"Excellent",160,"Somewhat happy",175,"Senior high school",500
"Coastal South",59,"Junior college",1000,"Not good",157,"Somewhat happy",170,"Senior high school",1000
"Coastal South",38,"Junior college",1000,"Fair",167,"Somewhat happy",172,"Senior high school",3000
"Coastal South",48,"Junior high school",400,"Not good",158,"Very happy",160,"Junior college",1000
"Coastal South",39,"Senior high school",600,"Excellent",153,"Very happy",163,"Junior high school",600
"Coastal South",27,"Junior college",1000,"Good",163,"Somewhat happy",173,"Junior college",1000
"Coastal South",34,"Junior high school",600,"Excellent",155,"Somewhat happy",175,"Junior high school",800
"Coastal South",35,"Junior college",1000,"Not good",158,"Not too happy",165,"Senior high school",400
"Coastal South",24,"Junior high school",600,"Excellent",164,"Very happy",170,"Junior high school",1000
"Coastal South",28,"Senior high school",700,"Not good",158,"Somewhat happy",170,"Senior high school",2000
"Coastal South",55,"Senior high school",800,"Not good",152,"Very unhappy",170,"University",1000
"Coastal South",40,"Senior high school",1000,"Fair",162,"Somewhat happy",174,"University",2000
"Coastal South",27,"Senior high school",1000,"Good",160,"Somewhat happy",170,"Senior high school",2000
"Coastal South",25,"Junior college",900,"Fair",148,"Somewhat happy",170,"Senior high school",2000
"Coastal South",36,"University",3000,"Fair",163,"Somewhat happy",172,"University",10000
"Coastal South",55,"Elementary school",0,"Good",140,"Very happy",169,"Elementary school",600
"Coastal South",50,"Senior high school",400,"Good",159,"Very happy",174,"University",3000
"Coastal South",41,"Senior high school",1000,"Good",164,"Somewhat happy",176,"Senior high school",1000
"Coastal South",40,"Junior high school",500,"Excellent",163,"Somewhat happy",160,"Senior high school",500
"Coastal South",35,"Junior high school",800,"Excellent",163,"Somewhat happy",168,"Senior high school",1000
"Coastal South",35,"Junior high school",400,"Fair",156,"Somewhat happy",160,"Junior high school",800
"Coastal South",42,"Junior college",10000,"Fair",158,"Very happy",160,"Senior high school",5000
"Coastal South",44,"Senior high school",800,"Good",162,"Very happy",173,"Senior high school",500
"Coastal South",43,"Senior high school",500,"Fair",164,"Somewhat happy",164,"Senior high school",500
"Coastal South",33,"Junior college",2000,"Good",159,"Somewhat happy",180,"Senior high school",3000
"Coastal South",30,"Elementary school",700,"Excellent",158,"Somewhat happy",168,"Elementary school",800
"Coastal South",38,"Senior high school",500,"Good",156,"Somewhat happy",171,"Senior high school",300
"Coastal South",37,"Junior college",800,"Good",157,"Somewhat happy",173,"Junior college",800
"Coastal South",36,"Senior high school",1000,"Fair",163,"Somewhat happy",170,"Senior high school",2000
"Coastal South",40,"Senior high school",1000,"Excellent",157,"Very happy",169,"Senior high school",3000
"Coastal South",57,"Junior high school",500,"Fair",156,"Not too happy",174,"Junior high school",800
"Coastal South",43,"Elementary school",500,"Fair",158,"Somewhat happy",170,"Senior high school",500
"Coastal South",29,"Junior high school",500,"Excellent",154,"Somewhat happy",169,"Junior high school",700
"Coastal South",34,"Senior high school",600,"Good",156,"Somewhat happy",171,"Senior high school",2000
"Coastal South",45,"Senior high school",600,"Fair",149,"Not too happy",168,"Senior high school",1000
"Coastal South",31,"Junior high school",0,"Fair",160,"Somewhat happy",170,"Senior high school",2000
"Coastal South",31,"Senior high school",700,"Good",155,"Somewhat happy",169,"Junior college",3000
"Coastal South",41,"Elementary school",0,"Not good",150,"Somewhat happy",164,"Senior high school",900
"Coastal South",36,"Senior high school",2000,"Fair",160,"Somewhat happy",168,"Senior high school",2000
"Coastal South",64,"Never attended school",200,"Good",156,"Very happy",166,"Elementary school",2000
"Coastal South",35,"Senior high school",1000,"Good",164,"Somewhat happy",176,"Senior high school",5000
"Coastal South",42,"Junior high school",700,"Good",154,"Somewhat happy",164,"Senior high school",1000
"Coastal South",28,"Junior high school",500,"Fair",162,"Not too happy",170,"Junior high school",500
"Coastal South",27,"Junior high school",2000,"Good",159,"Somewhat happy",162,"Junior high school",500
"Coastal South",29,"Junior high school",400,"Good",161,"Somewhat happy",168,"Senior high school",2000
"Coastal South",54,"Junior high school",400,"Good",153,"Somewhat happy",165,"Elementary school",600
"Coastal South",45,"Junior high school",800,"Good",159,"Somewhat happy",169,"Junior high school",800
"Coastal South",23,"Junior college",1000,"Not good",160,"Not too happy",163,"Senior high school",4000
"Coastal South",46,"Junior high school",600,"Good",157,"Very happy",162,"Senior high school",3000
"Coastal South",29,"Senior high school",300,"Good",167,"Somewhat happy",167,"Junior college",1000
"Coastal South",39,"Senior high school",800,"Fair",154,"Not too happy",168,"Elementary school",900
"Coastal South",28,"Senior high school",800,"Good",152,"Somewhat happy",170,"Senior high school",900
"Coastal South",33,"Junior college",1000,"Good",154,"Somewhat happy",171,"Junior college",4000
"Coastal South",42,"Junior high school",700,"Good",158,"Very happy",168,"Junior high school",800
"Coastal South",62,"Junior high school",1000,"Fair",152,"Somewhat happy",167,"Junior high school",1000
"Coastal South",20,"Junior high school",600,"Excellent",165,"Somewhat happy",173,"Senior high school",1000
"Coastal South",23,"Senior high school",500,"Excellent",163,"Very happy",171,"Junior high school",700
"Coastal South",61,"Elementary school",0,"Good",151,"Very happy",165,"Elementary school",700
"Coastal South",36,"Junior high school",1000,"Excellent",158,"Somewhat happy",178,"Elementary school",1000
"Coastal South",46,"Junior high school",500,"Good",156,"Very happy",176,"Junior high school",2000
"Coastal South",38,"Senior high school",1000,"Good",160,"Very happy",170,"Senior high school",2000
"Coastal South",40,"Senior high school",300,"Good",160,"Somewhat happy",165,"Senior high school",500
"Coastal South",36,"Elementary school",1000,"Excellent",160,"Somewhat happy",175,"Senior high school",500
"Coastal South",23,"Junior college",1000,"Fair",163,"Very happy",171,"Junior college",2000
"Coastal South",42,"Senior high school",1000,"Good",152,"Somewhat happy",168,"Junior high school",1000
"Coastal South",47,"Junior high school",800,"Good",150,"Somewhat happy",165,"Junior high school",800
"Coastal South",27,"Elementary school",500,"Excellent",153,"Somewhat happy",160,"Junior high school",900
"Coastal South",42,"Junior college",2000,"Good",158,"Somewhat happy",170,"Senior high school",2000
"Coastal South",34,"Junior high school",500,"Excellent",153,"Somewhat happy",168,"Junior high school",2000
"Coastal South",43,"Senior high school",1000,"Good",148,"Very happy",174,"Senior high school",1000
"Coastal South",55,"Junior high school",700,"Fair",165,"Somewhat happy",166,"University",800
"Coastal South",33,"University",2000,"Good",156,"Somewhat happy",177,"University",2000
"Coastal South",51,"Senior high school",2000,"Fair",148,"Somewhat happy",168,"Senior high school",2000
"Coastal South",29,"Senior high school",800,"Fair",159,"Somewhat happy",172,"Senior high school",1000
"Coastal South",28,"Junior high school",800,"Fair",158,"Somewhat happy",172,"Junior college",800
"Coastal South",41,"Senior high school",1000,"Good",158,"Very happy",170,"University",2000
"Coastal South",41,"Elementary school",400,"Excellent",165,"Not too happy",165,"Senior high school",300
"Coastal South",43,"Never attended school",400,"Good",157,"Somewhat happy",168,"Junior high school",600
"Coastal South",59,"Never attended school",300,"Fair",150,"Somewhat happy",170,"Elementary school",500
"Coastal South",41,"Senior high school",1000,"Fair",148,"Not too happy",170,"Senior high school",1000
"Coastal South",27,"Elementary school",1000,"Good",163,"Somewhat happy",170,"Junior high school",1000
"Coastal South",37,"Senior high school",800,"Fair",156,"Somewhat happy",165,"Senior high school",1000
"Coastal South",38,"Senior high school",700,"Fair",165,"Somewhat happy",170,"Senior high school",2000
"Coastal South",48,"Elementary school",600,"Fair",160,"Somewhat happy",160,"Senior high school",700
"Coastal South",25,"Elementary school",500,"Fair",152,"Not too happy",160,"Senior high school",800
"Coastal South",44,"Junior high school",700,"Fair",163,"Somewhat happy",170,"Elementary school",800
"Coastal South",22,"Senior high school",2000,"Good",159,"Somewhat happy",168,"Junior high school",8000
"Coastal South",51,"Senior high school",900,"Fair",151,"Somewhat happy",163,"Elementary school",500
"Coastal South",36,"Senior high school",0,"Fair",160,"Not too happy",170,"Senior high school",1000
"Coastal South",45,"Elementary school",400,"Fair",156,"Not too happy",169,"Senior high school",1000
"Coastal South",28,"Senior high school",0,"Good",168,"Somewhat happy",170,"Senior high school",900
"Coastal South",48,"Junior high school",300,"Good",158,"Somewhat happy",167,"Senior high school",700
"Coastal South",30,"Junior high school",1000,"Good",158,"Somewhat happy",163,"Junior high school",3000
"Coastal South",22,"Junior high school",1000,"Fair",156,"Somewhat happy",160,"Senior high school",2000
"Coastal South",21,"Elementary school",1000,"Excellent",158,"Very happy",170,"Junior high school",1000
"Coastal South",38,"Senior high school",500,"Fair",160,"Somewhat happy",170,"Senior high school",2000
"Coastal South",33,"Senior high school",400,"Fair",155,"Somewhat happy",170,"Senior high school",2000
"Coastal South",53,"Senior high school",600,"Fair",155,"Somewhat happy",165,"Senior high school",600
"Coastal South",35,"Senior high school",0,"Good",156,"Somewhat happy",175,"Senior high school",1000
"Coastal South",60,"Senior high school",700,"Fair",160,"Somewhat happy",173,"Junior high school",2000
"Coastal South",20,"Senior high school",1000,"Good",167,"Somewhat happy",170,"Senior high school",1000
"Coastal South",46,"Senior high school",600,"Fair",158,"Somewhat happy",170,"Junior high school",600
"Coastal South",54,"Elementary school",800,"Fair",165,"Somewhat happy",170,"Junior college",1000
"Coastal South",45,"Junior high school",900,"Fair",148,"Somewhat happy",172,"Senior high school",500
"Coastal South",28,"Senior high school",0,"Fair",163,"Somewhat happy",174,"Senior high school",2000
"Coastal South",37,"Junior high school",0,"Fair",156,"Somewhat happy",163,"Senior high school",600
"Coastal South",30,"University",2000,"Good",158,"Somewhat happy",174,"University",2000
"Coastal South",42,"Senior high school",500,"Excellent",151,"Very happy",169,"Senior high school",1000
"Coastal South",28,"Senior high school",400,"Good",146,"Very happy",168,"Senior high school",600
"Coastal South",30,"Elementary school",400,"Good",150,"Somewhat happy",160,"Junior high school",400
"Coastal South",39,"Junior high school",300,"Good",156,"Somewhat happy",170,"Senior high school",500
"Coastal South",35,"Junior high school",500,"Excellent",158,"Very happy",162,"Senior high school",800
"Coastal South",60,"Senior high school",200,"Good",162,"Somewhat happy",165,"Junior high school",600
"Coastal South",32,"Senior high school",400,"Fair",155,"Not too happy",169,"Senior high school",1000
"Coastal South",36,"Senior high school",300,"Good",155,"Not too happy",168,"Junior high school",400
"Coastal South",35,"Senior high school",700,"Good",160,"Very happy",178,"Senior high school",1000
"Coastal South",48,"Junior high school",200,"Good",156,"Somewhat happy",159,"Senior high school",800
"Coastal South",38,"Junior high school",600,"Excellent",158,"Very happy",175,"Senior high school",2000
"Coastal South",38,"Junior high school",0,"Excellent",156,"Not too happy",171,"Junior high school",500
"Coastal South",33,"Junior high school",300,"Excellent",159,"Somewhat happy",165,"Senior high school",2000
"Coastal South",27,"Junior college",500,"Excellent",160,"Very happy",170,"Junior college",600
"Coastal South",46,"Junior high school",600,"Good",163,"Very happy",170,"Junior college",1000
"Coastal South",35,"Junior high school",400,"Fair",155,"Somewhat happy",168,"Junior high school",500
"Coastal South",44,"Junior high school",500,"Excellent",160,"Somewhat happy",170,"Junior high school",800
"Coastal South",36,"Junior high school",200,"Good",159,"Not too happy",170,"Senior high school",600
"Coastal South",30,"Senior high school",400,"Good",159,"Somewhat happy",167,"Junior college",500
"Coastal South",37,"Junior high school",1000,"Fair",153,"Somewhat happy",162,"Senior high school",1000
"Coastal South",34,"Senior high school",700,"Excellent",162,"Very happy",169,"Senior high school",900
"Coastal South",36,"Junior high school",600,"Good",150,"Somewhat happy",165,"Senior high school",800
"Coastal South",23,"Senior high school",400,"Fair",157,"Somewhat happy",170,"Junior high school",600
"Coastal South",36,"Senior high school",700,"Good",156,"Somewhat happy",173,"Junior high school",1000
"Inlands",24,"Senior high school",400,"Fair",158,"Somewhat happy",168,"Junior college",1000
"Inlands",31,"Junior college",0,"Fair",155,"Somewhat happy",169,"Senior high school",400
"Inlands",37,"Elementary school",300,"Excellent",160,"Very happy",170,"Senior high school",500
"Inlands",43,"Elementary school",30,"Good",158,"Somewhat happy",172,"Junior college",30
"Inlands",27,"Junior high school",400,"Fair",163,"Somewhat happy",170,"Junior high school",600
"Inlands",42,"Never attended school",0,"Good",152,"Somewhat happy",172,"Elementary school",300
"Inlands",37,"Junior high school",400,"Good",157,"Somewhat happy",170,"Junior high school",400
"Inlands",37,"Elementary school",400,"Good",161,"Somewhat happy",158,"Junior high school",400
"Inlands",32,"Senior high school",400,"Good",159,"Somewhat happy",165,"University",400
"Inlands",48,"Junior high school",400,"Fair",158,"Somewhat happy",173,"Senior high school",800
"Inlands",41,"Junior high school",800,"Excellent",160,"Somewhat happy",170,"Senior high school",1000
"Inlands",45,"Elementary school",200,"Fair",153,"Not too happy",165,"Elementary school",500
"Inlands",27,"Junior high school",300,"Excellent",154,"Somewhat happy",170,"Junior high school",400
"Inlands",46,"Junior high school",300,"Excellent",160,"Very happy",170,"Senior high school",400
"Inlands",30,"Junior high school",400,"Excellent",155,"Not too happy",165,"Junior high school",1000
"Inlands",34,"Junior high school",0,"Excellent",164,"Not too happy",167,"Senior high school",2000
"Inlands",34,"Junior high school",100,"Good",150,"Very happy",166,"Junior high school",600
"Inlands",47,"Elementary school",600,"Excellent",160,"Very happy",170,"Junior high school",700
"Inlands",35,"Junior high school",0,"Fair",158,"Somewhat happy",168,"Elementary school",800
"Inlands",42,"Elementary school",400,"Fair",163,"Somewhat happy",175,"Junior high school",500
"Inlands",30,"Elementary school",500,"Excellent",156,"Somewhat happy",158,"Junior high school",700
"Inlands",42,"Elementary school",200,"Good",152,"Somewhat happy",164,"Elementary school",500
"Inlands",44,"Elementary school",200,"Good",161,"Somewhat happy",170,"Elementary school",400
"Inlands",32,"Junior college",1000,"Fair",155,"Somewhat happy",176,"Junior college",2000
"Inlands",44,"Junior high school",800,"Good",162,"Somewhat happy",170,"Senior high school",800
"Inlands",35,"Junior high school",400,"Good",153,"Somewhat happy",166,"Junior high school",500
"Coastal South",29,"Senior high school",2000,"Fair",160,"Somewhat happy",169,"Junior college",3000
"Coastal South",24,"Junior college",2000,"Excellent",156,"Somewhat happy",175,"Junior college",2000
"Coastal South",24,"Senior high school",2000,"Fair",155,"Somewhat happy",165,"University",3000
"Coastal South",42,"Junior high school",800,"Fair",161,"Somewhat happy",173,"Junior high school",2000
"Coastal South",26,"Senior high school",1000,"Excellent",158,"Somewhat happy",175,"Senior high school",2000
"Coastal South",30,"Elementary school",1000,"Excellent",155,"Very happy",169,"Junior high school",1000
"Coastal South",21,"Senior high school",2000,"Not good",153,"Not too happy",175,"University",6000
"Coastal South",30,"Senior high school",1000,"Fair",168,"Somewhat happy",178,"Junior college",2000
"Coastal South",38,"Junior high school",2000,"Excellent",159,"Very happy",169,"Junior high school",2000
"Coastal South",31,"Junior high school",0,"Fair",160,"Not too happy",170,"Senior high school",10000
"Coastal South",31,"University",2000,"Good",160,"Somewhat happy",170,"University",4000
"Coastal South",23,"Senior high school",2000,"Good",163,"Somewhat happy",176,"Junior college",2000
"Coastal South",31,"Senior high school",1000,"Good",160,"Somewhat happy",170,"Junior college",2000
"Coastal South",34,"Junior high school",300,"Fair",150,"Not too happy",168,"Junior high school",1000
"Coastal South",35,"Junior high school",2000,"Fair",170,"Somewhat happy",175,"Junior high school",2000
"Coastal South",35,"Junior high school",800,"Fair",155,"Somewhat happy",165,"Junior high school",800
"Coastal South",44,"University",2000,"Fair",168,"Not too happy",172,"University",2000
"Coastal South",38,"Junior high school",1000,"Fair",156,"Somewhat happy",178,"Senior high school",3000
"Coastal South",23,"Senior high school",1000,"Good",155,"Somewhat happy",160,"Senior high school",2000
"Coastal South",31,"Elementary school",600,"Good",158,"Somewhat happy",160,"Junior high school",3000
"Coastal South",35,"Senior high school",500,"Not good",155,"Somewhat happy",170,"Senior high school",800
"Coastal South",38,"Senior high school",200,"Good",161,"Somewhat happy",170,"Junior high school",600
"Coastal South",27,"Junior high school",600,"Excellent",154,"Very happy",170,"Senior high school",700
"Coastal South",25,"Junior high school",2000,"Excellent",155,"Very happy",163,"Junior high school",10000
"Coastal South",24,"Senior high school",700,"Good",160,"Somewhat happy",180,"Senior high school",1000
"Coastal South",22,"Junior high school",2000,"Excellent",156,"Somewhat happy",173,"Senior high school",2000
"Coastal South",29,"Senior high school",600,"Good",160,"Somewhat happy",173,"Senior high school",600
"Coastal South",39,"Senior high school",700,"Fair",160,"Somewhat happy",170,"Junior high school",700
"Coastal South",33,"Senior high school",600,"Excellent",168,"Very happy",178,"Junior college",1000
"Coastal South",34,"Senior high school",700,"Good",151,"Very happy",173,"Senior high school",900
"Coastal South",42,"Junior high school",700,"Excellent",163,"Very happy",182,"Senior high school",1000
"Coastal South",29,"Senior high school",800,"Fair",160,"Very happy",175,"Junior high school",1000
"Coastal South",35,"Junior high school",600,"Excellent",159,"Very happy",167,"Junior high school",1000
"Coastal South",27,"Junior high school",2000,"Excellent",162,"Very happy",172,"Junior high school",2000
"Coastal South",27,"Junior high school",0,"Excellent",156,"Somewhat happy",170,"Junior high school",1000
"Coastal South",32,"Senior high school",1000,"Good",164,"Somewhat happy",172,"University",2000
"Coastal South",36,"Junior high school",700,"Good",161,"Somewhat happy",175,"Senior high school",5000
"Coastal South",25,"Junior high school",500,"Fair",155,"Not too happy",171,"Senior high school",300
"Coastal South",32,"Senior high school",1000,"Fair",158,"Not too happy",168,"Senior high school",400
"Coastal South",33,"Junior high school",800,"Good",156,"Somewhat happy",173,"Senior high school",600
"Coastal South",29,"Senior high school",500,"Fair",160,"Not too happy",176,"Junior high school",500
"Coastal South",29,"Elementary school",300,"Fair",150,"Very happy",170,"Junior high school",1000
"Coastal South",29,"Junior high school",300,"Fair",159,"Very happy",172,"Junior high school",900
"Coastal South",34,"Elementary school",500,"Excellent",172,"Somewhat happy",184,"Elementary school",500
"Coastal South",43,"Elementary school",1000,"Good",160,"Very happy",165,"Elementary school",800
"Coastal South",40,"Elementary school",400,"Good",163,"Somewhat happy",165,"Junior high school",400
"Coastal South",51,"Senior high school",300,"Good",163,"Somewhat happy",175,"University",2000
"Coastal South",26,"Junior high school",600,"Good",159,"Somewhat happy",175,"Junior high school",1000
"Coastal South",40,"Elementary school",0,"Fair",160,"Somewhat happy",176,"Elementary school",800
"Coastal South",33,"Senior high school",2000,"Fair",159,"Somewhat happy",170,"Junior high school",2000
"Coastal South",37,"Senior high school",1000,"Fair",158,"Somewhat happy",170,"Junior college",3000
"Coastal South",31,"Senior high school",1000,"Fair",163,"Somewhat happy",173,"Senior high school",2000
"Coastal South",43,"Senior high school",600,"Fair",156,"Somewhat happy",182,"Junior college",2000
"Coastal South",47,"Elementary school",300,"Fair",158,"Not too happy",172,"Junior high school",300
"Coastal South",60,"University",1000,"Good",154,"Somewhat happy",161,"Senior high school",1000
"Coastal South",31,"Senior high school",2000,"Fair",150,"Very happy",168,"Senior high school",800
"Coastal South",28,"Junior high school",700,"Good",161,"Somewhat happy",162,"Junior high school",1000
"Coastal South",31,"University",1000,"Fair",160,"Somewhat happy",163,"Junior college",1000
"Coastal South",25,"University",1000,"Good",156,"Somewhat happy",168,"University",3000
"Coastal South",56,"University",2000,"Not good",150,"Somewhat happy",168,"University",2000
"Coastal South",42,"Elementary school",7000,"Good",150,"Somewhat happy",170,"Senior high school",300
"Coastal South",26,"Junior college",1000,"Good",164,"Not too happy",176,"Junior college",1000
"Coastal South",34,"Junior high school",4000,"Good",161,"Very happy",173,"Junior high school",2000
"Coastal South",33,"Senior high school",800,"Good",157,"Somewhat happy",173,"Junior college",1000
"Coastal South",25,"Junior high school",400,"Excellent",160,"Not too happy",168,"Junior college",600
"Coastal South",37,"Junior high school",1000,"Fair",160,"Somewhat happy",167,"Junior high school",2000
"Coastal South",43,"Junior high school",200,"Not good",158,"Somewhat happy",167,"Senior high school",700
"Coastal South",31,"Junior high school",1000,"Fair",162,"Somewhat happy",167,"Junior high school",2000
